tweet_id,author_id,inbound,text,in_response_to_tweet_id,language,clean_text,intent_candidate,intent
2383325,226637,True,@AmazonHelp Found out it was cancelled because you sent me an email. Not in spam. Was already delayed despite being Prime.,2383324.0,en,Found out it was cancelled because you sent me an email. Not in spam. Was already delayed despite being Prime.,late_missing_delivery,late_missing_delivery
475047,228056,True,@AmazonHelp no amazon vid for the past week. How can I fix it?! Very frustrating when I pay for it. https://t.co/7hpn7I3KvY,,en,no amazon vid for the past week. How can I fix it?! Very frustrating when I pay for it.,other,technical_product_support
1371408,439221,True,@AmazonHelp But you’ve taken my money. I was told it would take 2 days to process. I assume it’s arriving tomorrow now?,1371409.0,en,But you’ve taken my money. I was told it would take days to process. I assume it’s arriving tomorrow now?,other,late_missing_delivery
2913221,806459,True,"@AmazonHelp literally no response in over 24 hrs. Nevermind, I’ll just return the package and nip to Toys R Us!",2913222.0,en,"literally no response in over hrs. Nevermind, I’ll just return the package and nip to Toys R Us!",return_refund,complaint_general
332749,195244,True,"@115850 Total savings - delivery charges =a micro savings just lk going to market n fetching it up,a cheap trick by a big company fooling the public",332750.0,en,"Total savings - delivery charges =a micro savings just lk going to market n fetching it up,a cheap trick by a big company fooling the public",other,complaint_general
1367674,437476,True,"@AmazonHelp Arriving early: Nokia 6 (Matte Black, 32GB) will be delivered by AmzAgent(9941566190). https://t.co/crqrIgHu1x",1367673.0,en,"Arriving early: Nokia (Matte Black, 32GB) will be delivered by AmzAgent( ).",other,delivery_status
1765189,425206,True,"@115851 Going to have to stop doing business with @115821, #AmazonLogistics is unable to deliver packages",1765191.0,en,"Going to have to stop doing business with , #AmazonLogistics is unable to deliver packages",other,late_missing_delivery
1188152,366074,True,@AmazonHelp That was too quick at such a late hour. Do you guys ever sleep? 😛😄,1188151.0,en,That was too quick at such a late hour. Do you guys ever sleep? 😛😄,late_missing_delivery,complaint_general
528287,242295,True,"@AmazonHelp My delivery was scheduled for today and the contact number of the agent was also provided to me and when i called the agent he was not responding to my queries properly and was also very rude.
I being a very active costumer of @115850 encountered this experience (1)",,en,My delivery was scheduled for today and the contact number of the agent was also provided to me and when i called the agent he was not responding to my queries properly and was also very rude. I being a very active costumer of encountered this experience ( ),other,complaint_general
2388010,556985,True,@AmazonHelp can you help me cancel an order please?? When i try it takes me to a blank page! 🤦🏻‍♀️,,en,can you help me cancel an order please?? When i try it takes me to a blank page! 🤦🏻‍♀️,other,order_cancellation
2970655,819393,True,#XmasGotMeLike Sorry @115821 for placing 5 different orders a day for the next 20 days #hatehumaninteractions https://t.co/iZB2YOshtM,,en,#XmasGotMeLike Sorry for placing different orders a day for the next days #hatehumaninteractions,other,complaint_general
2301552,667948,True,@AmazonHelp Raised it and Received a called from your crab customer service..was assured of getting the product by today..send your company delivery guys and CEO to some small vendors and make them learn how to deliver the products and have to give service.. Pathetic Service..,2301551.0,en,Raised it and Received a called from your crab customer service..was assured of getting the product by today..send your company delivery guys and CEO to some small vendors and make them learn how to deliver the products and have to give service.. Pathetic Service..,complaint_general,complaint_general
2783151,777168,True,I can’t believe how brands outright lie to their consumers @115850 @149473,,en,I can’t believe how brands outright lie to their consumers,other,complaint_general
264422,179010,True,"@119356 @115821 Placed an return pickup but was completely denied by Service provider Bluedart here in Hanumangarh, Rajasthan, India. 
The return pickup AWB Id: 69725045110 @149473",,en,"Placed an return pickup but was completely denied by Service provider Bluedart here in Hanumangarh, Rajasthan, India. The return pickup AWB Id:",return_refund,return_refund
1495561,467253,True,@AmazonHelp It was unable to be cancelled,1495562.0,en,It was unable to be cancelled,other,order_cancellation
965229,338936,True,"I understand the constraints bt why only in case of fridge.
You are serving every other thing at our doorstep except it @AmazonHelp https://t.co/1rffdHDmcb",,en,I understand the constraints bt why only in case of fridge. You are serving every other thing at our doorstep except it,other,product_information
2966470,818391,True,"@115830 disappointed with Scalectrix delivered with no additional packaging, so unprotected and visible showing what the purchased gift was! Could have ruined Christmas for a child and stopped them believing in Father Christmas :( expectations definitely not met :( #LetDown",,en,"disappointed with Scalectrix delivered with no additional packaging, so unprotected and visible showing what the purchased gift was! Could have ruined Christmas for a child and stopped them believing in Father Christmas :( expectations definitely not met :( #LetDown",technical_product_support,damaged_wrong_item
921195,193234,True,@AmazonHelp Please look into Allahabad courier service...they are stupid enough to give u huge set back in business..,921194.0,en,Please look into Allahabad courier service...they are stupid enough to give u huge set back in business..,other,complaint_general
984212,353323,True,@AmazonHelp give me ur number will call back you,984211.0,en,give me ur number will call back you,other,complaint_general
122060,143201,True,"Thanks @115830 waited up for a delivery of my Echo between 10pm -12am for an in stock item, only to have the order cancelled at 23:14. Great service to a prime subscriber.",,en,"Thanks waited up for a delivery of my Echo between 10pm -12am for an in stock item, only to have the order cancelled at : . Great service to a prime subscriber.",technical_product_support,order_cancellation
1760551,528900,True,@AmazonHelp I order from the uk so i guess its .co.uk,1760550.0,en,I order from the uk so i guess its .co.uk,other,product_information
128724,144962,True,"@AmazonHelp My package has now changed to ""Packages are rarely this late and we're sorry yours still hasn't arrived"" and the only Tracking update is still from Monday morning ""Package has left seller facility and is in transit to carrier""",128725.0,en,"My package has now changed to ""Packages are rarely this late and we're sorry yours still hasn't arrived"" and the only Tracking update is still from Monday morning ""Package has left seller facility and is in transit to carrier""",late_missing_delivery,late_missing_delivery
2468112,706155,True,Dear @115821: not cool. Use a plastic bag if it’s raining. I promise I recycle. #HowNotTo #DeliveryFail https://t.co/5BdJlnZZAB,,en,Dear : not cool. Use a plastic bag if it’s raining. I promise I recycle. #HowNotTo #DeliveryFail,other,damaged_wrong_item
2403893,691497,True,@115850  I had placed order of boyson shoes(2 items)  but i recieved only one item as though paid for two items ORDER # 403-6545111-9571553 please contact me 7702913138  or __email__,,en,I had placed order of boyson shoes( items) but i recieved only one item as though paid for two items ORDER # - - please contact me or __email__,other,damaged_wrong_item
2135672,148218,True,@AmazonHelp So relieved to finally receive it. It's been a stressful week thinking it was lost and I was going to end up paying more but I now feel like Xmas is sorted https://t.co/3XO7ZeJUkk,2135671.0,en,So relieved to finally receive it. It's been a stressful week thinking it was lost and I was going to end up paying more but I now feel like Xmas is sorted,other,delivered_not_received
1125175,385304,True,"@AmazonHelp @118919  I have not received my cashback for order no. 403-7428184-1258738 dated 20 November.
What r u wanted prove? 
I have already mentioned detail on my Facebook account 5 hour ago. No response....
Don't tease me.....",,en,I have not received my cashback for order no. - - dated November. What r u wanted prove? I have already mentioned detail on my Facebook account hour ago. No response.... Don't tease me.....,other,complaint_general
1030318,363773,True,@115833 Hi i need help trying to login in to the app with a new password but it wont work now,,en,Hi i need help trying to login in to the app with a new password but it wont work now,account_payment_security,account_payment_security
675233,281038,True,@AmazonHelp Close my account request coming soon to your customer service. @115850,675232.0,en,Close my account request coming soon to your customer service.,complaint_general,account_payment_security
1887791,563030,True,@115850 very low grade service and return policy.plz do not buy anything from @115850 @115821,,en,very low grade service and return policy.plz do not buy anything from,return_refund,complaint_general
1392962,443972,True,Ok @116316 what’s wrong with this review? https://t.co/ymoRz7EMNt,,en,Ok what’s wrong with this review?,other,product_information
1110372,545652,True,@115850 @115850  did not receive my freebie yet which I won in #apptreasurehunt . Please ship it fast.,1110369.0,en,did not receive my freebie yet which I won in #apptreasurehunt . Please ship it fast.,technical_product_support,product_information
2868438,796603,True,"So, @115821, when you say “Guaranteed Delivery By”, do you mean “Guaranteed Delivery” or do you mean “guaranteed” delivery, or some other #marketing definition?",,en,"So, , when you say “Guaranteed Delivery By”, do you mean “Guaranteed Delivery” or do you mean “guaranteed” delivery, or some other #marketing definition?",other,delivery_status
446142,164002,True,@AmazonHelp ups has it. My packaged with them last week was delayed too. In my experience packages don't go out for delivery in afternoon.,446141.0,en,ups has it. My packaged with them last week was delayed too. In my experience packages don't go out for delivery in afternoon.,late_missing_delivery,late_missing_delivery
842227,320328,True,Dear @115821 / Jeff B...I'll gift you my backyard if you want to build #HQ2 there &amp; shorten time it takes for my boxes to arrive #daylate,,en,Dear / Jeff B...I'll gift you my backyard if you want to build #HQ2 there &amp; shorten time it takes for my boxes to arrive #daylate,late_missing_delivery,late_missing_delivery
2944405,813376,True,"@AmazonHelp Yes, I got a 2nd email this morning saying it’s out for delivery and the tracking on the app still says out for delivery",2944406.0,en,"Yes, I got a 2nd email this morning saying it’s out for delivery and the tracking on the app still says out for delivery",technical_product_support,delivery_status
1403985,408415,True,"@AmazonHelp Well, it's happened again! Yet another one of my orders messed up by Amazon; and this time they've really screwed me over!",,en,"Well, it's happened again! Yet another one of my orders messed up by Amazon; and this time they've really screwed me over!",technical_product_support,complaint_general
176472,157520,True,@115821 Thanks Amazon! Merry Christmas! https://t.co/o7nPYLzgYw,,en,Thanks Amazon! Merry Christmas!,other,complaint_general
766930,303294,True,@AmazonHelp Did not know that! thanks for the info,766929.0,en,Did not know that! thanks for the info,other,complaint_general
953124,346149,True,"What is going on with @115821 lately? All my recent orders are causing me headache, and the costumers support is everything but to help.",,en,"What is going on with lately? All my recent orders are causing me headache, and the costumers support is everything but to help.",late_missing_delivery,complaint_general
778468,305894,True,@AmazonHelp @115821 what a scam. Sell fake products as non returnable items. Well done Amazon in d name of Great Indian Festival.,,en,what a scam. Sell fake products as non returnable items. Well done Amazon in d name of Great Indian Festival.,return_refund,damaged_wrong_item
69704,131792,True,@AmazonHelp I logged into my account just for an update and it said delivered so I looked into it - it rained last night so therefore it was in the rain,69703.0,en,I logged into my account just for an update and it said delivered so I looked into it - it rained last night so therefore it was in the rain,other,delivered_not_received
1706582,517200,True,"@115850 @AmazonHelp 1/4 please help me if you really want to help me . I need pickup service buy, location new Delhi 110062.plz help",,en,"/ please help me if you really want to help me . I need pickup service buy, location new Delhi .plz help",other,return_refund
1004533,357766,True,@AmazonHelp I ordered something that was supposed to be here yesterday and it never showed up.,,en,I ordered something that was supposed to be here yesterday and it never showed up.,other,late_missing_delivery
1041657,366348,True,@115821 why does it say delivery attempted not successfull.  This is t true there is a receptionist there at all times. They didn’t even try to deliver my package.,,en,why does it say delivery attempted not successfull. This is t true there is a receptionist there at all times. They didn’t even try to deliver my package.,other,late_missing_delivery
2018648,596989,True,@AmazonHelp @115830 @AmazonHelp do you need more information regarding this issue?,2018647.0,en,do you need more information regarding this issue?,other,complaint_general
315489,169605,True,@AmazonHelp done the required. still waiting for any action.,224341.0,en,done the required. still waiting for any action.,late_missing_delivery,complaint_general
1503867,469055,True,Really @115821 my package was suppose to deliever yesterday! Still waiting!,,en,Really my package was suppose to deliever yesterday! Still waiting!,late_missing_delivery,late_missing_delivery
294882,186225,True,@AmazonHelp Okay thank you. I sent the email.,294881.0,en,Okay thank you. I sent the email.,other,complaint_general
2800418,781263,True,"@AmazonHelp I just bought a digital code about 15-20 minutes ago and it is still, ""Pending Verification."" How long is this going to take?",,en,"I just bought a digital code about - minutes ago and it is still, ""Pending Verification."" How long is this going to take?",other,delivery_status
894701,332438,True,"I just want my copy of Turtles All The Way Down to arrive 😩😩 
cc: @115821",,en,I just want my copy of Turtles All The Way Down to arrive 😩😩 cc:,delivery_status,late_missing_delivery
1806534,407433,True,"I is sad. Apparently @115821 won't be able to get me my copy of #Sims4 and I'm literally dumbfounded. This has never happened to me before. I don't know how to proceed. Lol, like I don't even know how to cancel the order. @AmazonHelp",,en,"I is sad. Apparently won't be able to get me my copy of #Sims4 and I'm literally dumbfounded. This has never happened to me before. I don't know how to proceed. Lol, like I don't even know how to cancel the order.",order_cancellation,order_cancellation
766931,303294,True,@AmazonHelp Why has my order that was due tomorrow suddenly changed to Tuesday next week?,766929.0,en,Why has my order that was due tomorrow suddenly changed to Tuesday next week?,other,late_missing_delivery
1886078,562548,True,"@AmazonHelp Yes, and I have set the safe place as both my preferred neighbour and safe place option. The last I heard was that the courier company management was going to attend my property to see why their staff were not leaving it in the safe place",1886077.0,en,"Yes, and I have set the safe place as both my preferred neighbour and safe place option. The last I heard was that the courier company management was going to attend my property to see why their staff were not leaving it in the safe place",other,late_missing_delivery
1376413,440416,True,@AmazonHelp My wife ordered a costume and it was supposed to be here today but got an email that it would now be here Nov. 1st after Halloween,1376412.0,en,My wife ordered a costume and it was supposed to be here today but got an email that it would now be here Nov. 1st after Halloween,other,late_missing_delivery
2293943,666126,True,@AmazonHelp it was 3 weeks a month ago and now an additional month has been added,2293944.0,en,it was weeks a month ago and now an additional month has been added,other,late_missing_delivery
2345602,678260,True,Hey @115821. I’ve done your Amazon Household thing and my wife and I still can’t share movies. And we can’t toggle between her account and mine on our fire stick to get movies from her account to play for our kid. What gives?,,en,Hey . I’ve done your Amazon Household thing and my wife and I still can’t share movies. And we can’t toggle between her account and mine on our fire stick to get movies from her account to play for our kid. What gives?,technical_product_support,technical_product_support
2731144,765650,True,Where is my amazon package?! HUH!?,,en,Where is my amazon package?! HUH!?,other,delivery_status
415465,214068,True,"@AmazonHelp @115821 @115821 I feel for the son who gifted his mom a TV, which was wrongly delivered 2 me &amp; hasn’t been taken back for a week now! #happydiwali",415463.0,en,"I feel for the son who gifted his mom a TV, which was wrongly delivered me &amp; hasn’t been taken back for a week now! #happydiwali",technical_product_support,damaged_wrong_item
612697,265714,True,@AmazonHelp It was online and all we got was an email saying it wasn't possible and to contact customer services.,612696.0,en,It was online and all we got was an email saying it wasn't possible and to contact customer services.,complaint_general,complaint_general
833963,318599,True,🌞👋 have gotten #Despacito !! 3 more books just bought from @115850 #BookLove 💗💃,,en,🌞👋 have gotten #Despacito !! more books just bought from #BookLove 💗💃,other,product_information
324385,193276,True,"@115821 Question: When in your affiliate program, can you post 'your link' anywhere on the internet and get credit? Or would just website?",,en,"Question: When in your affiliate program, can you post 'your link' anywhere on the internet and get credit? Or would just website?",other,product_information
754087,300245,True,"@AmazonHelp Close to 2 weeks, and still pending, for an item that was in stock when I ordered it? Sorry but you have to do better. When will it ship?",754086.0,en,"Close to weeks, and still pending, for an item that was in stock when I ordered it? Sorry but you have to do better. When will it ship?",delivery_status,late_missing_delivery
793859,309293,True,@AmazonHelp I'm due to have an item delivered tomorrow  but as yet its still not showing as dispatched . What time do u dispatch up until,,en,I'm due to have an item delivered tomorrow but as yet its still not showing as dispatched . What time do u dispatch up until,other,delivery_status
2981551,822341,True,"Very impressed with photo confirmation of my package delivery @115821 , even more impressed it was delivered by Elmo 👍🏻 https://t.co/UBzJAJPkYO",,en,"Very impressed with photo confirmation of my package delivery , even more impressed it was delivered by Elmo 👍🏻",other,delivery_status
1565195,483214,True,@AmazonHelp I did. And all I got was a measly promo credit for a part of the service I never use. Super unhelpful. Very terrible service,1565194.0,en,I did. And all I got was a measly promo credit for a part of the service I never use. Super unhelpful. Very terrible service,complaint_general,complaint_general
2451310,294046,True,@AmazonHelp Don't you validate prices and the seller? Where can I leave feedback for the seller?,2451309.0,en,Don't you validate prices and the seller? Where can I leave feedback for the seller?,other,seller_marketplace
1623702,497351,True,@AmazonHelp Whereas in the past it would just play blippi songs straightaway,1623703.0,en,Whereas in the past it would just play blippi songs straightaway,other,technical_product_support
463404,225154,True,@AmazonHelp Thank you. My question is can I only get one type of box ever? It’s not that clear in the terms.,463403.0,en,Thank you. My question is can I only get one type of box ever? It’s not that clear in the terms.,other,product_information
365198,202513,True,@AmazonHelp my package has been out for delivery since 8am but have a delayed delivery definitely need it for tomorrow smh,,en,my package has been out for delivery since 8am but have a delayed delivery definitely need it for tomorrow smh,late_missing_delivery,late_missing_delivery
317236,191708,True,@AmazonHelp Sill no reply from the team. Very very pathetic solution u r providing to customers.,317234.0,en,Sill no reply from the team. Very very pathetic solution u r providing to customers.,other,complaint_general
1211067,404267,True,@116439 can I watch with the amazon fire TV stick series without having an APP like for example amazon prime video?,,en,can I watch with the amazon fire TV stick series without having an APP like for example amazon prime video?,technical_product_support,technical_product_support
248705,175083,True,"What Service Standard  @115850 @115821
Not able to deliver the product even after 12 days and refund the amount as a favour !!  Pathetic !",,en,What Service Standard Not able to deliver the product even after days and refund the amount as a favour !! Pathetic !,return_refund,late_missing_delivery
231550,144791,True,@AmazonHelp I completely understand .,231549.0,en,I completely understand .,other,complaint_general
1677136,510152,True,@AmazonHelp No. It's been sitting in the post office since October 28. I have no idea why,1677135.0,en,No. It's been sitting in the post office since October . I have no idea why,other,late_missing_delivery
2153965,632888,True,"@AmazonHelp Firstly, it's not error in tracking but unprofessional way of handling delivery. When package is not delivered I got update on SMS and email that your package is delivered today 20nov.Then when I contacted CC they told me that now it will be delivered tomorrow? I need resolution!",2153966.0,en,"Firstly, it's not error in tracking but unprofessional way of handling delivery. When package is not delivered I got update on SMS and email that your package is delivered today 20nov.Then when I contacted CC they told me that now it will be delivered tomorrow? I need resolution!",delivery_status,delivered_not_received
1695868,489037,True,@AmazonHelp How soon after a return is delivered to your hub in KY will the refund be processed?,,en,How soon after a return is delivered to your hub in KY will the refund be processed?,return_refund,return_refund
829482,317544,True,No refund recvd from @115850 it's been more than month product has been returned. https://t.co/mvcxLsWW7v,,en,No refund recvd from it's been more than month product has been returned.,return_refund,return_refund
739673,296901,True,@AmazonHelp I cannot get into my account and reset my password. I have forgotten the previous one.  I have not received he mail with that reset link .,739672.0,en,I cannot get into my account and reset my password. I have forgotten the previous one. I have not received he mail with that reset link .,account_payment_security,account_payment_security
459014,224010,True,"@115821 JUST THIS WEEK, 7 items I ordered within the last few weeks went down in price, 1 pkg delivered in my yard instead of my porch and 1 pkg expected Sunday still not delivered at all. Prime member for 6 yrs. Not cool.",,en,"JUST THIS WEEK, items I ordered within the last few weeks went down in price, pkg delivered in my yard instead of my porch and pkg expected Sunday still not delivered at all. Prime member for yrs. Not cool.",prime_membership,late_missing_delivery
778457,305891,True,"How come I can access book deals on my Tab-S but not Note 8? Is the Kindle book deal over?
@125607 @202517 @117634",,en,How come I can access book deals on my Tab-S but not Note ? Is the Kindle book deal over?,other,technical_product_support
144176,148592,True,@AmazonHelp I have tried to contact the seller but they do not have a contact number. I could only speak to reception of the building where they are based who said they would pass on a message and to call back if not contacted after one week.,144175.0,en,I have tried to contact the seller but they do not have a contact number. I could only speak to reception of the building where they are based who said they would pass on a message and to call back if not contacted after one week.,other,seller_marketplace
1389496,443235,True,@115830 really helpful card!! I'm sure you'll agree..... https://t.co/IJdT2JvZWZ,,en,really helpful card!! I'm sure you'll agree.....,other,complaint_general
2889241,801079,True,"Dear app developers,

if you make my phone ping and my watch vibrate and it turns out to be an ad, guess what: You just lost notification privileges.

Yes, even you, @116618. https://t.co/CegSV6jdMs",,en,"Dear app developers, if you make my phone ping and my watch vibrate and it turns out to be an ad, guess what: You just lost notification privileges. Yes, even you, .",technical_product_support,complaint_general
1229655,315066,True,"@AmazonHelp in the email i got back on 6/11/17, the expected arrival date was 10/27... now its 10/31 https://t.co/6Gi9KSwCZP",1229654.0,en,"in the email i got back on / / , the expected arrival date was / ... now its /",other,late_missing_delivery
533314,243548,True,"@AmazonHelp So, the delivery to an address is not decided based on the the pincode? I've received items delivered to the same address from Amazon previously.",533313.0,en,"So, the delivery to an address is not decided based on the the pincode? I've received items delivered to the same address from Amazon previously.",other,product_information
1877460,560428,True,"@AmazonHelp That it is in the city I'm in, just at the @115817 facility since 6 am??",1877459.0,en,"That it is in the city I'm in, just at the facility since am??",other,delivery_status
264677,179062,True,@AmazonHelp Everytime i got this reply but no any action found at least 5 time but nothing happen,264678.0,en,Everytime i got this reply but no any action found at least time but nothing happen,technical_product_support,complaint_general
848210,278536,True,So @115821 why is it that I pre-ordered @146898 book and now you’re saying it’s out of stock? How does that work???,,en,So why is it that I pre-ordered book and now you’re saying it’s out of stock? How does that work???,other,product_information
1303710,424644,True,Thanks @115821 that’s exactly where I needed my package https://t.co/yL81veetby,,en,Thanks that’s exactly where I needed my package,other,complaint_general
1824722,547771,True,"@AmazonHelp Yes more than 30 times but they were making me fool , I want new product otherwise I want my money back .",1824721.0,en,"Yes more than times but they were making me fool , I want new product otherwise I want my money back .",return_refund,damaged_wrong_item
2452127,446599,True,".@AmazonHelp
.@115850
.. Is there any cashback offer going on for loading money in Amazon pay balance?
https://t.co/tBr6oFK1Te",,en,. . .. Is there any cashback offer going on for loading money in Amazon pay balance?,other,product_information
526542,241852,True,@115850 Billing address is same as Shipping address. Could you please check I'm not able to change. Order 402-6608900-3256313,,en,Billing address is same as Shipping address. Could you please check I'm not able to change. Order - -,other,order_cancellation
275566,181821,True,@115850 This is delayed like anything. Please cancel it and confirm,275568.0,en,This is delayed like anything. Please cancel it and confirm,late_missing_delivery,order_cancellation
400348,210671,True,"@115821 How can I speak with customer services about rubbish delivery drivers, can’t find a number?",,en,"How can I speak with customer services about rubbish delivery drivers, can’t find a number?",complaint_general,complaint_general
464290,225398,True,"@10008 Hi I'm going to the CoF event and the ticket states it starts at 10am Saturday, but when does it REALLY start? lol",,en,"Hi I'm going to the CoF event and the ticket states it starts at 10am Saturday, but when does it REALLY start? lol",other,product_information
2171320,636862,True,@AmazonHelp I ordered a package on the 15th and it was due before any time today before 8pm it's 8:32 now and still nothing?,,en,I ordered a package on the 15th and it was due before any time today before 8pm it's : now and still nothing?,other,late_missing_delivery
2779238,746597,True,ok this is fantastic. i'm talking to a customer service rep and they are telling me that the package was delivered on saturday outside the door. my package is supposed to go inside an amazon locker. WHAT DOORSTEP DID YOU LEAVE THIS ON?,2779244.0,en,ok this is fantastic. i'm talking to a customer service rep and they are telling me that the package was delivered on saturday outside the door. my package is supposed to go inside an amazon locker. WHAT DOORSTEP DID YOU LEAVE THIS ON?,complaint_general,delivered_not_received
1339621,432468,True,@AmazonHelp customer care tells me payment is through and successful but the order shows payment failed. they tell me that it will reflect soon.,1339618.0,en,customer care tells me payment is through and successful but the order shows payment failed. they tell me that it will reflect soon.,other,account_payment_security
1645507,502822,True,@AmazonHelp I'm having it on the full site and the mobile site on all browsers.  I don't use the app.  Shopping works...I just can't buy.,1645506.0,en,I'm having it on the full site and the mobile site on all browsers. I don't use the app. Shopping works...I just can't buy.,technical_product_support,technical_product_support
160355,152938,True,"Oh well, cancelled my @115821 order and Prime again because they CONSTANTLY FUCK UP THE FUCKING SHIPPING.",,en,"Oh well, cancelled my order and Prime again because they CONSTANTLY FUCK UP THE FUCKING SHIPPING.",other,order_cancellation
390778,208522,True,@115850 The Delivery Boy refuses To Delivery My Product Which Is A #amazonprime Delivery Before Today 8 pm Thatis 10/10/17 Please Check 😓 https://t.co/KEp5afiYXH,,en,The Delivery Boy refuses To Delivery My Product Which Is A #amazonprime Delivery Before Today pm Thatis / / Please Check 😓,other,late_missing_delivery
1085043,344751,True,"@AmazonHelp @115851 @127187 @AmazonHelp @115850 
I need Replacement for my Order.
I'am in no way going to suffer the loss caused by false commitments made by Amazon.
I would gladly accept the replacement in Slate Grey 128GB if Midnight Black 128GB Variant is not available.",1084990.0,en,I need Replacement for my Order. I'am in no way going to suffer the loss caused by false commitments made by Amazon. I would gladly accept the replacement in Slate Grey 128GB if Midnight Black 128GB Variant is not available.,late_missing_delivery,damaged_wrong_item
835166,318845,True,@115850 when i ordered through amazon app i pay amount of 465 rupees through my visa card.Order has been cancelled still i get my refund.,,en,when i ordered through amazon app i pay amount of rupees through my visa card.Order has been cancelled still i get my refund.,return_refund,return_refund
267716,168214,True,"@AmazonHelp No, it says: “expected October 4” and that item left seller facility and is in transit, no more updates.",267717.0,en,"No, it says: “expected October ” and that item left seller facility and is in transit, no more updates.",other,delivery_status
1594667,490013,True,"@AmazonHelp The courier lied about me refusing delivery &amp; everyone is ignoring that. This was not an error., it was a deliberately misleading statement.",1594665.0,en,"The courier lied about me refusing delivery &amp; everyone is ignoring that. This was not an error., it was a deliberately misleading statement.",other,late_missing_delivery
1996353,590307,True,"@AmazonHelp It says on the way, but Royal Mail can’t track it ? Frustrating as it was ordered last weekend and was due for delivery yesterday?",1996352.0,en,"It says on the way, but Royal Mail can’t track it ? Frustrating as it was ordered last weekend and was due for delivery yesterday?",other,late_missing_delivery
1648493,503612,True,"@AmazonHelp I'm not going to do that, but fyi tracking information says a package is delivered, and it isn't. Again.",1648492.0,en,"I'm not going to do that, but fyi tracking information says a package is delivered, and it isn't. Again.",delivery_status,delivered_not_received
2698922,758282,True,"@115821 The PS4 was supposed to arrive today in Prime and now it's rescheduled for Monday or Tuesday. It's a birthday gift and I pay for Prime. Not cool, Amazon. https://t.co/zIjcGnM36o",,en,"The PS4 was supposed to arrive today in Prime and now it's rescheduled for Monday or Tuesday. It's a birthday gift and I pay for Prime. Not cool, Amazon.",delivery_status,late_missing_delivery
2898961,803132,True,@116618 I cancelled my #HBO channel and was still charged for it this month...What the heck? So now I have to pay for it on #Directv and this? #ripoff,,en,I cancelled my #HBO channel and was still charged for it this month...What the heck? So now I have to pay for it on #Directv and this? #ripoff,other,account_payment_security
1115831,383298,True,@115850 I am trying to close account of Neha mehta Mobile number 9890081943 and have sent mail on 23/10. Still matter pending.,,en,I am trying to close account of Neha mehta Mobile number and have sent mail on / . Still matter pending.,other,account_payment_security
1572902,484855,True,@AmazonHelp have received the product .thanks,1572901.0,en,have received the product .thanks,other,complaint_general
2867235,784668,True,"@115821 you've lost a customer! I don't know why I pay $90 for Prime when it's over 3 days I haven't received my package, and no tracking update has been posted. And when I call Customer Service, you guys can't track it either. So I can't cancel or order another. Very very upset!",,en,"you've lost a customer! I don't know why I pay $ for Prime when it's over days I haven't received my package, and no tracking update has been posted. And when I call Customer Service, you guys can't track it either. So I can't cancel or order another. Very very upset!",delivery_status,late_missing_delivery
467542,226282,True,@AmazonHelp Package not delivered in 2 days and all your agents have to say is take refund...now that’s not the delivery standards expected of Amazon. Though this is first such experience,467541.0,en,Package not delivered in days and all your agents have to say is take refund...now that’s not the delivery standards expected of Amazon. Though this is first such experience,return_refund,late_missing_delivery
1107327,381332,True,"@115821 hi, I just ""purchased"" a FREE trial for audible but I got a receipt from my credit card saying you actually charged me for the trial. Help?",,en,"hi, I just ""purchased"" a FREE trial for audible but I got a receipt from my credit card saying you actually charged me for the trial. Help?",other,account_payment_security
391694,207924,True,@AmazonHelp Too irritated for this type of worst service @115850,391128.0,en,Too irritated for this type of worst service,complaint_general,complaint_general
233493,171584,True,@AmazonHelp have been an Amazon customer for quite some time now. But this case and this attitude makes me want to never shop from you again @118702,233491.0,en,have been an Amazon customer for quite some time now. But this case and this attitude makes me want to never shop from you again,other,complaint_general
619128,266914,True,@AmazonHelp how do i collect an order from an amazon locker?,,en,how do i collect an order from an amazon locker?,other,product_information
137157,146930,True,"@AmazonHelp The product was set to be available on the 22nd of November. As it was a pre-order there is no tracking information given, just an apology for having nothing in stock",137156.0,en,"The product was set to be available on the 22nd of November. As it was a pre-order there is no tracking information given, just an apology for having nothing in stock",delivery_status,product_information
2828085,120896,True,@AmazonHelp how many times is your delivery driver going to drive past my street before he delivers my parcel? becoming a bit of a joke considering my parcel was supposed to arrive YESTERDAY.,,en,how many times is your delivery driver going to drive past my street before he delivers my parcel? becoming a bit of a joke considering my parcel was supposed to arrive YESTERDAY.,delivery_status,late_missing_delivery
2786310,777907,True,@115821 is it normal for your delivery people to ring the doorbell and stand there for 4 minutes before they went and sat in their car in my driveway for another 5 minutes?,,en,is it normal for your delivery people to ring the doorbell and stand there for minutes before they went and sat in their car in my driveway for another minutes?,other,complaint_general
1891574,564054,True,"@AmazonHelp Bought a samsung led tv from amazon. Delivery of item on time.. Bt for  ""installation and demo"" they r throwing me, one number to another.",1891573.0,en,"Bought a samsung led tv from amazon. Delivery of item on time.. Bt for ""installation and demo"" they r throwing me, one number to another.",other,complaint_general
