tweet_id,text,clean_text,weak_intent
1211012,"@115830 hello, I'm having problems with my account. My account is not recognising my password despite resetting. what can I do?","hello, I'm having problems with my account. My account is not recognising my password despite resetting. what can I do?",account_payment_security
1733135,"@115830 - having issues logging in. Have reset my password, but account still saying it’s incorrect. HELP!!","- having issues logging in. Have reset my password, but account still saying it’s incorrect. HELP!!",account_payment_security
438886,"@AmazonHelp I returned an item, and got an email saying that the item hasn't been received, so i'm going to be charged. Hermes collected it.","I returned an item, and got an email saying that the item hasn't been received, so i'm going to be charged. Hermes collected it.",account_payment_security
2087199,@AmazonHelp Pls don't tell me to call u now.  it could be a temporary error. My acct was charged but ticket wasn't received. I booked another ticket 1/2,Pls don't tell me to call u now. it could be a temporary error. My acct was charged but ticket wasn't received. I booked another ticket /,account_payment_security
594575,Struggling to enable @11738 KASA skill on @115833 i enter my login details but it just goes back to homescreen &amp; asks me to enable again. Any help? @260863 @27690 #Echo #Alexa,Struggling to enable KASA skill on i enter my login details but it just goes back to homescreen &amp; asks me to enable again. Any help? #Echo #Alexa,account_payment_security
729049,"@AmazonHelp That link takes me to a login page. I’m unable to login, I get through email and password but then have to input a verification code..1/2","That link takes me to a login page. I’m unable to login, I get through email and password but then have to input a verification code.. /",account_payment_security
255735,"@AmazonHelp just got an email that you guys changed an email for one of my accounts, which I didn’t put the request in for Someone hacked it","just got an email that you guys changed an email for one of my accounts, which I didn’t put the request in for Someone hacked it",account_payment_security
2604246,@AmazonHelp I have repeatedly requested for transfer of my money from amazon pay balance to my bank account.... and repeatedly promised by costumer care but not yet transferred.... poor customer care service,I have repeatedly requested for transfer of my money from amazon pay balance to my bank account.... and repeatedly promised by costumer care but not yet transferred.... poor customer care service,account_payment_security
1252966,"@AmazonHelp I already cancelled! Yet you charged me again, this is a disgrace. I would like a refund ASAP","I already cancelled! Yet you charged me again, this is a disgrace. I would like a refund ASAP",account_payment_security
1580412,"@AmazonHelp Hey! Can't sign in or reset password. I don't get the code emails, and internet/email are all working. I'm in California.","Hey! Can't sign in or reset password. I don't get the code emails, and internet/email are all working. I'm in California.",account_payment_security
2824748,@115850 how to get money refunded directly to my bank account if I return my order and money get refunded into Amazon pay balance,how to get money refunded directly to my bank account if I return my order and money get refunded into Amazon pay balance,account_payment_security
810232,@AmazonHelp hey my account has been breached but I can't contact Amazon because I can't log in. Do you have a regular email?,hey my account has been breached but I can't contact Amazon because I can't log in. Do you have a regular email?,account_payment_security
1310231,@115850  please let me know the correct price of this product. MRP on shoe is Rs. 499 while Rs 999 charged in the invoice. #fraud? https://t.co/lgtRjTi9S0,please let me know the correct price of this product. MRP on shoe is Rs. while Rs charged in the invoice. #fraud?,account_payment_security
845769,"@AmazonHelp Hi, I've been charged for an item I returned weeks ago. I can't find a contact email on the app. Please assist.","Hi, I've been charged for an item I returned weeks ago. I can't find a contact email on the app. Please assist.",account_payment_security
1887323,"@AmazonHelp Hi. I've 3 items that were due to be dispatched on Monday, and I've not been charged for them, let alone them being dispatched.","Hi. I've items that were due to be dispatched on Monday, and I've not been charged for them, let alone them being dispatched.",account_payment_security
984189,"@AmazonHelp No, I was charged for both orders on the 20th which was expected and then today I was charged the exact same two orders a second time","No, I was charged for both orders on the 20th which was expected and then today I was charged the exact same two orders a second time",account_payment_security
1526881,".@115821 sooo if some1 hacked my acct, changed e-mail address, purchased things on this acct, what should I do? Your cust svc no help at all",". sooo if some1 hacked my acct, changed e-mail address, purchased things on this acct, what should I do? Your cust svc no help at all",account_payment_security
462479,"Someone hacked my @115821 account and spent $700 on League of Legends gift cards. Awesome. I’ll just be here, stressed, hungry and poor, while nerds are playing video games on my crappy grad assistant paycheck 🤙🏽 #FinalsWeek","Someone hacked my account and spent $ on League of Legends gift cards. Awesome. I’ll just be here, stressed, hungry and poor, while nerds are playing video games on my crappy grad assistant paycheck 🤙🏽 #FinalsWeek",account_payment_security
1722473,"@AmazonHelp My account was locked due to suspicious activity (it was me), made me reset my password now I can't log in to my account at all.","My account was locked due to suspicious activity (it was me), made me reset my password now I can't log in to my account at all.",account_payment_security
2850793,forgot to cancel amazon music before the free trial ended and now I've been charged 7.99 for something i don't even use lol fuck off,forgot to cancel amazon music before the free trial ended and now I've been charged . for something i don't even use lol fuck off,account_payment_security
1121304,"@AmazonHelp Yes, I have filled the form, further twice the amount was deducted, and I tried from 3 different cards, again it’s showing payment failed.","Yes, I have filled the form, further twice the amount was deducted, and I tried from different cards, again it’s showing payment failed.",account_payment_security
586901,"i have balance in amazon pay and now i cannot withdrew it to my bank account, very bad experience with #amazon. first no service centre for kindle and now i cannot withdrew my own money! same option available for US Customers, treating indians as 2nd class customer!! #shopping","i have balance in amazon pay and now i cannot withdrew it to my bank account, very bad experience with #amazon. first no service centre for kindle and now i cannot withdrew my own money! same option available for US Customers, treating indians as 2nd class customer!! #shopping",account_payment_security
947215,@AmazonHelp There's no button on the checkout page to convert the currency. I also added my debit card to see if it will change to cad and it didnt,There's no button on the checkout page to convert the currency. I also added my debit card to see if it will change to cad and it didnt,account_payment_security
2647246,My @115821 account was hacked.  Way too much time with them trying to get this fixed. They REFUSE to help.  Keep getting the run around. Guess I'll have to keep shopping @Walmart in the meantime.,My account was hacked. Way too much time with them trying to get this fixed. They REFUSE to help. Keep getting the run around. Guess I'll have to keep shopping in the meantime.,account_payment_security
865610,@AmazonHelp No I havent. I've tried to login. Its saying these is no account with my email. Which is exactly the same as what I've used previous,No I havent. I've tried to login. Its saying these is no account with my email. Which is exactly the same as what I've used previous,account_payment_security
2984604,How i was charged more than MRP by amazon India https://t.co/DvQKSNrVIQ,How i was charged more than MRP by amazon India,account_payment_security
83374,"@AmazonHelp Already replied. Ur representative had replied totally out of context. I want to ask when you are giving instant discount in lieu of the interest charged on EMIs for partner banks one of which is ICICI, why am I not getting the discount?","Already replied. Ur representative had replied totally out of context. I want to ask when you are giving instant discount in lieu of the interest charged on EMIs for partner banks one of which is ICICI, why am I not getting the discount?",account_payment_security
73496,@115821 how am I supposed to login to amazon hub if the login box only accepts 10 characters?,how am I supposed to login to amazon hub if the login box only accepts characters?,account_payment_security
1731617,@AmazonHelp Help form completed 2 days ago &amp; still no contact or resolution.. Password reset codes still not being received .. not great service..,Help form completed days ago &amp; still no contact or resolution.. Password reset codes still not being received .. not great service..,account_payment_security
2596360,"#ThursdayThoughts @115821  An unauthorized seller selling items under my brand can change my listing anyway he like, and when I was blocked out of the way, isn't it like a thief can get into my house whenever he like and I myself was blocked out of the door. How Hilarious🤣","#ThursdayThoughts An unauthorized seller selling items under my brand can change my listing anyway he like, and when I was blocked out of the way, isn't it like a thief can get into my house whenever he like and I myself was blocked out of the door. How Hilarious🤣",account_payment_security
