tweet_id_customer,customer_text,clean_text,support_reply
1611149,@AmazonHelp @115850 @115821  when almost 6 month over. #fraudAmazon https://t.co/Ctqg2VyL5c,when almost month over. #fraudAmazon,@482230 Sorry for the delay. Kindly reply to the latest mail you have received from us for further assistance on this issue. ^RI
1413412,@115850 @131027 @115851 @13150 @118341 Your return pickup for 407-3061248-5011532 is scheduled for today and will be picked up between 1:00PM-4:00PM by AmzAgent(7980833986).,Your return pickup for - - is scheduled for today and will be picked up between :00PM- :00PM by AmzAgent( ).,"@448467 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^MM"
380158,"@AmazonHelp hey where is my prepaid packet??  No one to help in customer care.?  Its showing delivered but havnt recd.😠😠
__email__",hey where is my prepaid packet?? No one to help in customer care.? Its showing delivered but havnt recd.😠😠 __email__,@206175 https://t.co/Wvrej5O4KA and we'll reach out to you. (2/2) ^VM
215240,Accidentally signed up for a free trial of Amazon Prime and can't figure out how to get out of it. $100 is an insane price.,Accidentally signed up for a free trial of Amazon Prime and can't figure out how to get out of it. $ is an insane price.,@167141 We're here to help! Prime members who haven't used any benefits are eligible for a full refund: https://t.co/pljR68Kgsv ^ML
2899516,I’m finding @115830 prime to be useless for delivery lately. I’m going cancel. If I buy something on Monday and wanted it on Friday I would just choose free delivery! USELESS!,I’m finding prime to be useless for delivery lately. I’m going cancel. If I buy something on Monday and wanted it on Friday I would just choose free delivery! USELESS!,"@803274 Black Friday and Cyber Monday have become our busiest weeks of the year, so deliveries may take slightly longer than usual: https://t.co/eo2efn1ekm. I'm sorry for any frustration this may cause. We always aim to meet the delivery date provided during checkout. ^MB"
1020941,@AmazonHelp I’m really looking forward this!!! Thanks,I’m really looking forward this!!! Thanks,"@361590 You are welcome, Marco. Have a nice day! ^LG"
2488535,@AmazonHelp I already did. They confirmed it was happened during packaging of courier. I want to file complaint about this.,I already did. They confirmed it was happened during packaging of courier. I want to file complaint about this.,@710676 Apologies for the ordeal. We'd like to take a closer look on this. Please share your details here: https://t.co/GIJyeYqKE0 and let us know. We'll check and reach out to you with an update. ^VN
2838582,@AmazonHelp Can I purchase more than one of the items on the treasure truck?  I need 7 and don’t see an option to purchase more than 1.,Can I purchase more than one of the items on the treasure truck? I need and don’t see an option to purchase more than .,"@789989 The Treasure Truck limits you to one treasure per day, per customer. The products on the truck have limited availability which is the reason of limitation. ^MH"
2113681,"@AmazonHelp Title already is on my watchlist, I can watch it on my notebook - but it doesn't appear on the watchlist or even in search on the TV-App.","Title already is on my watchlist, I can watch it on my notebook - but it doesn't appear on the watchlist or even in search on the TV-App.",@623213 Oh no! Please contact us directly using the link provided by ^MH and we'll be happy to help investigate further. Keep us posted! ^SD
379396,@115850 no one is helping me in the order #4__credit_card__ i have book redmi 4 in offer after two days they cancel my order#unexpcted,no one is helping me in the order #4__credit_card__ i have book redmi in offer after two days they cancel my order#unexpcted,@206022 I'm sorry the order got canceled. Unfortunately the order canceled cannot be re-instated. (1/2)^HR
138233,@115830 - not quite what I expected to receive when I pre-ordered Noel Gallagher's High Flying Birds new album! https://t.co/6Rxi3ZRdD3,- not quite what I expected to receive when I pre-ordered Noel Gallagher's High Flying Birds new album!,@147132 Sorry to hear about this. Can you contact us here: https://t.co/JzP7hlA23B so we go through what options we have? ^MI
218183,When you stay in from 2pm for a package. Then be told that they tried to deliver it at 22.30?? I'm sat next to the door guys! @AmazonHelp,When you stay in from 2pm for a package. Then be told that they tried to deliver it at . ?? I'm sat next to the door guys!,@168019 Oh no! We'd like to look in to this with you. Please click here: https://t.co/JzP7hlA23B so we can further assist. ^NM
2469400,@AmazonHelp Already provide multiple times through mail.,Already provide multiple times through mail.,@192219 I've checked and see that we've received your details. We'll look into your concern and get back to you soon. Appreciate your patience. ^MO
1525026,"@AmazonHelp This link doesn’t work, I’ve attached the order. https://t.co/mwKFiY6Jq8","This link doesn’t work, I’ve attached the order.","@473704 (1/2) Please don't post account info, as these posts are public. Late orders typically arrive within 1-2 working days."
293319,@118919 Ordernumber 403-4361236-9963521 FitbitAlta smartwatch.Received it today with no manual.What am I supposed to do with it https://t.co/NLmXCFCJZM,Ordernumber - - FitbitAlta smartwatch.Received it today with no manual.What am I supposed to do with it,"@185865 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^ZH"
459927,@AmazonHelp Does it matter at this point? This is FIVE packages in a week that are delayed. Why am I paying for “prime” service if none of my shipments are on time?,Does it matter at this point? This is FIVE packages in a week that are delayed. Why am I paying for “prime” service if none of my shipments are on time?,"@224289 Melissa, I apologize for the delay with your deliveries! We'd like to escalate this. Please give us your details here: https://t.co/7cghCUW1wC ^MO"
673225,@AmazonHelp It's been two days over still no response worst.... https://t.co/NBchx71IGu,It's been two days over still no response worst....,"@280580 Also, please don't provide your order/account details, we consider it to be personal info. Our page is visible to the public. (2/2)^SF"
328037,"@AmazonHelp I did check my spam folder, yes. There's no notification from Amazon about this review having been removed.","I did check my spam folder, yes. There's no notification from Amazon about this review having been removed.",@194205 We would like to take a closer look with you here: https://t.co/hApLpMlfHN ^JZ
145845,@115850 #amazonIN Please make Cash on delivery for the pincode 625518. Due to inconvenience of COD people choosing other online store.,#amazonIN Please make Cash on delivery for the pincode . Due to inconvenience of COD people choosing other online store.,"@149077 I realize it must be upsetting, Harish. Multiple factors may result in unavailability of COD on a particular pin-code. You may refer to this page for more information: https://t.co/b5ddJ3SgJ6 ^JC"
2384533,@115850  can you call me i m facing a issue with a product and dont knw where to get replacement of that product,can you call me i m facing a issue with a product and dont knw where to get replacement of that product,@687297 Kindly get in touch with our support team here: https://t.co/rS49hgaADF ^AK (2/2)
792091,"@AmazonHelp i didn't the receive the order yet, now changed the delivery address , i don't know, how many month will take PRIME members , but useless","i didn't the receive the order yet, now changed the delivery address , i don't know, how many month will take PRIME members , but useless",@308869 Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^SU(2/2)
2921398,"So far I have bought myself:
@115833 
@231586 
@49801 
@134258 Hue Lights
all from @115821 

I don't know what's next honestly. I've been treating myself cause honestly no one else will. Maybe a new tablet from @117159 ? Or a robot vacuum from @7754 ??????",So far I have bought myself: Hue Lights all from I don't know what's next honestly. I've been treating myself cause honestly no one else will. Maybe a new tablet from ? Or a robot vacuum from ??????,@808531 Sounds like you're getting the complete set up! We hope you enjoy all your items! ^LS
118795,@AmazonHelp Pretty poor for 'prime'. Why pay for prime when it could have been delivered by those dates anyway??? https://t.co/2ruB3MGdpt,Pretty poor for 'prime'. Why pay for prime when it could have been delivered by those dates anyway???,"@142333 This isn't at all what we aim for, and I'm sorry we let you down. Please keep us posted, and let us know if it hasn't arrived by Tuesday. ^JN"
1556321,"Indeed. In the Settings, Video does not even appear. Why this special treatment, @115850? https://t.co/IVYQ19YZ4p","Indeed. In the Settings, Video does not even appear. Why this special treatment, ?",@441423 the concerned team internally. Please stay tuned. 2/2 ^NK
857826,@AmazonHelp Have filled it @115851 the only reply that I get eveytime I call care is 24 hours we will resolve and it's been 4 days,Have filled it the only reply that I get eveytime I call care is hours we will resolve and it's been days,@323710 We're working on your issue and we'll get in touch with an update shortly. ^SQ
1310341,@AmazonHelp Lets see how soon that is,Lets see how soon that is,"@294193 We value your time, we'll get back to you at the earliest. Appreciate your patience. ^HA"
2389742,@115850 Missed those days when I tried to reach home early from school just to play with this #videogame 😞😞,Missed those days when I tried to reach home early from school just to play with this #videogame 😞😞,"@688866 Similar tinge of feeling. 😦 Let's not disappoint the child inside us, you might want to check this link here: https://t.co/iXHiaPKKCi 😇 ^KA"
1232115,@AmazonHelp Already told you that I filled that form earlier,Already told you that I filled that form earlier,"@359661 For an instant update, I suggest you revert to the email sent by the Social Media team. ^EM"
821737,@AmazonHelp @115821 @115830 @123644 I just shared the details and hope that I will get the resolution ASAP,I just shared the details and hope that I will get the resolution ASAP,"@315727 If you've shared your details, we'll look into it and get back to you with an update. ^SQ"
851618,@115850 @115850 @115821  I did not get cashback. Yesterday @AmazonHelp replied but still issue has not resloved. #amazonfraud @135979 @146956,I did not get cashback. Yesterday replied but still issue has not resloved. #amazonfraud,"@482230 Apologies, please fill this form: https://t.co/beaaDm0muc and we'll get back to you soon. ^SI"
1466785,@115850 stop fooling customers by giving false promises for Prime memberships. After taking prime I get a delivery notification but order delivered next day,stop fooling customers by giving false promises for Prime memberships. After taking prime I get a delivery notification but order delivered next day,"@460450 Apologies for the delay in the delivery, it's quite unusual. We'd like to look into this, kindly report it to our support team here:https://t.co/vlvfJr4nN9 Also, I'll pass on your feedback internally to ensure such instances aren't repeated in the future. ^EM"
1491869,@AmazonHelp I've not been charged yet and your app will not let me cancel the order.,I've not been charged yet and your app will not let me cancel the order.,@466458 Please get in touch Mark - https://t.co/JzP7hlA23B so we can see what options are available to you. ^TP
1716162,"@117795 is an absolute scam, their guaranteed delivery means nothing, if they dont deliver they just say sorry, thats it, just bs","is an absolute scam, their guaranteed delivery means nothing, if they dont deliver they just say sorry, thats it, just bs",@519716 This isn't what we like to hear! Do you have a current order we can assist you with: https://t.co/Y5jpI9gRhE? ^DW
170982,Shocking customer service from @115830 I think it’s time to cancel my prime membership!!,Shocking customer service from I think it’s time to cancel my prime membership!!,@155877 This is not what we strive for. Without giving us any personal/account info can you please tell us the issue you are having? We are here to help! ^BA
1860961,@AmazonHelp how do I cancel a Prime Now order. The driver has been in my area for over an hour and has been sitting in the same place for 30 minutes.,how do I cancel a Prime Now order. The driver has been in my area for over an hour and has been sitting in the same place for minutes.,"@193846 Thanks for reaching out! Please feel free to connect with our Prime Now department here, for further assistance: https://t.co/8sjhoBrrHz ^SH"
2836937,"@AmazonHelp I send it to myself, because the recipient’s birthday is a few weeks away still.","I send it to myself, because the recipient’s birthday is a few weeks away still.","@789601 What Amazon site did you order it from? For example https://t.co/ykTUEmdsQA, https://t.co/nUUp5MLhYl, Amazon.de etc.^PK"
1555467,"@115821, why can’t I buy @7530 books from your app while i’m on my iPhone looking for something good to read? #missedopportunity",", why can’t I buy books from your app while i’m on my iPhone looking for something good to read? #missedopportunity",@481014 You can purchase on a browser and read on the Kindle app. Here's more info: https://t.co/VEIRiJEnZU ^PK
2226568,@1384 what happened to my order? Refund if you can’t deliver,what happened to my order? Refund if you can’t deliver,"@354683 Please let us know if you've contacted our support team? If you haven't, please do that here: https://t.co/rS49hgaADF so that they can assist you accordingly. ^BV"
2686403,@AmazonHelp You don't have chat support?,You don't have chat support?,"@349581 Hi, when you click on the link you will see a drop down menu with the contact us options. Chat will be one of the options available. ^CR"
